ID,Name,Price,"Quantity on Hand"
0,"Metallic Seaweed Ottoman",$52.99,14
1,"Firebrick Chaise Lounge",$235.99,54
2,"Manatee grey Sleeper Sofa","$1,279.99",46
3,"Harvest gold Dresser",$699.99,73
4,"Unbleached silk Futon",$219.99,33
5,"Bleu de France Reclining Loveseat","$1,023.99",99
6,"Pink Dresser",$699.99,23
7,"UP Forest green Coffee Table",$200,54
8,"Amaranth red Sectional","$1,039.99",28
9,"Paradise pink End Table",$39.99,84
10,"Turquoise green Coffee Table",$200,39
11,"Red-orange Sleeper Sofa","$1,279.99",28
12,"Cobalt blue Reclining Loveseat","$1,023.99",32
13,"Telemagenta Reclining Loveseat","$1,023.99",31
14,"Castleton green End Table",$39.99,66
15,"Salmon pink Coffee Table",$200,67
16,"Key lime Reclining Sofa","$1,119.99",55
17,"Olive green Daybed",$311.99,29
18,"Sunray gold Sofa",$649.99,8
19,"Vanilla Storage Bench",$194.99,30
20,"Midnight green Bed",$389.99,15
21,"Fawn Crib",$289,42
22,"Black coral Daybed",$311.99,9
23,"Shocking pink Nightstand",$81.99,100
24,"Lemon Nightstand",$81.99,6
25,"Desert Plant Stand",$42.99,65
26,"Tuscan tan Bed",$389.99,87
27,"Indigo dye Plant Stand",$42.99,51
28,"Screamin' Green Wardrobe",$719.99,6
29,"Raw sienna Sectional","$1,039.99",72
30,"Honolulu blue Plant Stand",$42.99,23
31,"Deep taupe Loveseat",$269.99,64
32,"Volt green Chaise Lounge",$235.99,75
33,"Spring bud Ottoman",$52.99,64
34,"Cinnabar Sofa",$649.99,51
35,"Sunglow Sofa",$649.99,95
36,"Heliotrope gray Sofa",$649.99,17
37,"Aero blue Futon",$219.99,89
38,"Dodger blue Daybed",$311.99,88
39,"Glossy grape Dining Table",$800,79
40,"Dark purple Stool",$54.99,83
41,"French blue Loveseat",$269.99,52
42,"Palatinate purple Headboard",$222.99,80
43,"Pacific blue Plant Stand",$42.99,66
44,"Raisin black Plant Stand",$42.99,79
45,"Pink lavender Futon",$219.99,90
46,"Dark olive green Dresser",$699.99,32
47,"Sepia Dining Table",$800,73
48,"Mustard yellow Chaise Lounge",$235.99,2
49,"Han purple Bench",$114.99,12
50,"Vanilla ice Stool",$54.99,57
51,"Copper penny Bed",$389.99,9
52,"Light periwinkle Daybed",$311.99,40
53,"Selective yellow Dining Chair",$89.99,57
54,"Tyrian purple Dining Chair",$89.99,80
55,"Iceberg Loveseat",$269.99,14
56,"Wine dregs maroon Chaise Lounge",$235.99,79
57,"Pale purple Crib",$289,80
58,"Cambridge blue Wardrobe",$719.99,19
59,"Celadon green Plant Stand",$42.99,55
60,"Maize Coffee Table",$200,56
61,"Aero blue Dining Chair",$89.99,0
62,"Mikado yellow Reclining Loveseat","$1,023.99",60
63,"China rose Crib",$289,57
64,"Kelly green Bed",$389.99,91
65,"Sweet Brown End Table",$39.99,78
66,"Deep pink Reclining Loveseat","$1,023.99",60
67,"White End Table",$39.99,51
68,"Process yellow Sleeper Sofa","$1,279.99",78
69,"Non-photo blue Bench",$114.99,31
70,"Steel blue Coffee Table",$200,100
71,"Floral white Sectional","$1,039.99",80
72,"Light sea green Dining Chair",$89.99,32
73,"Maximum green yellow Sofa",$649.99,83
74,"Wild Strawberry Wardrobe",$719.99,3
75,"Schauss pink Headboard",$222.99,64
76,"Tickle Me Pink Dresser",$699.99,19
77,"Satin sheen gold Sectional","$1,039.99",47
78,"French raspberry Plant Stand",$42.99,76
79,"Viridian green Bed",$389.99,71
80,"Brick red Reclining Sofa","$1,119.99",18
81,"Spanish gray Dresser",$699.99,84
82,"Medium sea green Loveseat",$269.99,24
83,"Malachite green Dresser",$699.99,60
84,"Antique ruby Bed",$389.99,16
85,"Deep cerise Dresser",$699.99,70
86,"Rose ebony Wardrobe",$719.99,16
87,"Cadmium orange Headboard",$222.99,70
88,"Pale cerulean Bed",$389.99,63
89,"Light gray Sectional","$1,039.99",59
90,"Olive Reclining Loveseat","$1,023.99",88
91,"Jet Sofa",$649.99,36
92,"Neon blue Ottoman",$52.99,14
93,"Japanese carmine Futon",$219.99,13
94,"Melon pink Futon",$219.99,87
95,"Sienna Sofa",$649.99,34
96,"Rojo Spanish red Crib",$289,44
97,"Copper Wardrobe",$719.99,59
98,"Dark sky blue Stool",$54.99,38
99,"Persian green Dining Chair",$89.99,46
100,"Sap green Dresser",$699.99,1
101,"Olive green Loveseat",$269.99,69
102,"Indigo Nightstand",$81.99,73
103,"Safety yellow Bench",$114.99,25
104,"Safety yellow Dining Table",$800,44
105,"Maximum red purple Dining Chair",$89.99,67
106,"Maximum green Bench",$114.99,22
107,"Dutch white Dining Chair",$89.99,54
108,"Upsdell red Sofa",$649.99,22
109,"Amaranth pink Coffee Table",$200,50
110,"KSU purple Stool",$54.99,21
111,"Metallic Seaweed Nightstand",$81.99,93
112,"French blue Reclining Loveseat","$1,023.99",49
113,"Dark green Stool",$54.99,38
114,"French raspberry Chaise Lounge",$235.99,93
115,"Fuzzy Wuzzy brown End Table",$39.99,2
116,"Beau blue Wardrobe",$719.99,96
117,"Drab Storage Bench",$194.99,71
118,"University of Pennsylvania red Daybed",$311.99,0
119,"Electric blue Wardrobe",$719.99,21
120,"Olive Drab Stool",$54.99,74
121,"Red-violet Reclining Sofa","$1,119.99",79
122,"Pink flamingo Reclining Sofa","$1,119.99",69
123,"Aqua End Table",$39.99,12
124,"Antique fuchsia Reclining Loveseat","$1,023.99",4
125,"Dark sky blue Ottoman",$52.99,81
126,"Lava Dresser",$699.99,95
127,"Sheen green Reclining Sofa","$1,119.99",40
128,"Persian plum Coffee Table",$200,37
129,"B'dazzled blue Sectional","$1,039.99",13
130,"Portland Orange Stool",$54.99,21
